Microsoft,Iterative,Recursive,Linear
18.05,50.33,65.76,1383.56
14.18,27.98,47.86,1365.63
12.96,28.14,46.71,1353.59
13.03,33.13,45.49,1384.36
14.08,29.36,54.49,1301.53
12.9,28.43,47,1381.51
14.37,29.1,47.25,1491.24
16.9,30.96,56.73,1727.56
14.92,26.6,44.88,1469.88
14.79,32.43,49.46,1474.46
15.68,33.97,55.13,1467.35
13.06,28.43,54.14,1448.88
12.93,26.41,45.52,1397.75
12.77,27.63,45.08,1377.48
12.58,27.82,49.08,1329.93
12.8,26.41,46.23,1316.93
12.87,27.47,45.46,1298.81
13.06,26.99,48.31,1387.47
12.64,26.44,45.52,1332.43
12.83,27.18,45.01,1356.35
13.06,28.49,45.2,1342.42
12.77,26.79,45.33,1337.55
12.67,26.79,45.4,1351.48
12.67,26.7,47.22,1356.19
14.79,26.99,81.71,1536.06
13.09,27.53,48.15,1340.72
14.02,26.51,46.61,1387.98
12.96,28.84,47.96,1335.37
12.71,27.05,47,1350.1
12.87,29.64,45.84,1302.59
12.96,30.19,58.4,1418.97
13.25,27.31,52.44,1464.98
13.73,30.32,48.66,1366.5
13.54,28.11,47.86,1376.52
12.71,27.79,47.48,1404.95
15.72,35.21,45.08,1351.22
12.93,28.36,46.52,1373.03
13.19,30.64,46.55,1462.65
13.79,28.17,50.3,1364.25
14.63,27.79,49.27,1436.17
12.9,30.16,46.01,1451.82
14.37,28.4,52.22,1338
13.15,28.88,46.04,1361.09
14.18,29.8,47.45,1353.3
14.05,29.74,53.24,1426.4
12.93,28.52,45.49,1456.56
12.74,27.4,49.66,1342.23
12.96,29.23,47.32,1364.8
12.99,27.5,45.24,1341.07
12.74,27.15,46.45,1432.07
12.77,28.94,45.49,1658.09
13.15,28.81,50.3,1382.73
12.83,27.11,49.14,1391.28
13.41,27.75,48.02,1349.85
12.71,28.62,48.5,1424.45
12.83,28.52,45.72,1338.9
14.47,28.65,48.21,1309.18
13.22,29.07,47,1374.12
12.64,27.43,47.48,1472.41
12.87,26.83,46.13,1390.32
13.38,26.99,46.65,1389.39
12.8,27.72,47.93,1299.64
12.74,26.99,51.38,1349.27
20.52,28.72,46.01,1399.92
12.8,29.26,52.44,1347.22
13.06,27.98,46.65,1482.08
14.4,27.43,46.01,1375.81
26.22,56.38,47.29,1690.42
12.74,26.03,46.39,1382.79
12.96,28.43,49.17,2215.9
14.95,26.12,48.89,1394.8
12.87,26.19,46.36,1298.68
13.92,26.25,46.45,1507.86
12.93,30.57,44.92,1393.9
12.9,26.15,45.33,1411.77
14.44,27.88,49.33,1507.06
12.64,27.24,44.79,1354.27
15.75,25.83,44.95,1317.86
12.74,27.24,44.69,1334.89
13.67,26.06,45.14,1333.49
12.93,25.9,45.62,1393.94
14.34,26.31,45.01,1315.75
13.67,26.22,46.42,1266.63
17.86,32.53,44.72,1360.6
14.66,25.96,45.24,1337.26
12.77,26.12,45.08,1401.04
12.87,26.15,44.53,1350.2
12.71,25.93,45.04,1339.89
15.88,26.19,44.79,1351.64
13.25,27.34,45.08,1326.44
15.08,30.76,60.38,1332.91
12.8,26.03,44.66,1365.38
19.91,31.72,56.31,1338.35
12.74,25.99,45.01,1370.37
12.74,26.51,44.92,1365.25
12.83,26.12,45.62,1331.88
13.89,27.27,54.01,1387.21
14.34,27.08,45.81,1341.39
12.87,25.96,44.6,1337.14
12.83,26.19,44.69,1369.06
18.37,49.33,65.06,1351.35
12.93,27.34,46.42,1344.37
13.22,26.38,46.01,1361.6
12.87,30.35,52.76,1416.48
12.87,26.95,47.8,1368.71
12.71,27.82,46.36,1413.11
16.32,32.24,58.46,1545.09
12.99,26.47,49.08,1366.08
13.95,28.14,45.75,1349.65
13.09,28.27,47.77,1367.9
12.67,29.26,46.61,1336.05
14.85,31.72,52.98,1866.36
13.86,28.17,46.93,1342.61
12.77,26.41,47.7,1362.97
13.03,28.68,48.44,1348.66
13.44,27.53,46.52,1393.07
12.77,27.43,45.78,1387.34
12.96,26.7,48.53,1386.35
12.93,26.67,46.33,1353.82
12.61,27.63,45.84,1299.58
13.03,28.78,46.42,1373.54
19.91,27.43,46.04,1357.31
12.87,27.4,45.36,1346.52
13.15,27.24,47.06,1363.61
12.67,27.4,49.53,1447.25
13.38,28.04,49.37,1420
13.03,28.07,45.84,1356.09
12.93,42,47.61,1412.92
12.77,27.08,46.52,1395.63
12.93,27.66,45.88,1460.69
14.95,29.9,46.42,1407.96
14.34,28.91,51.38,1398.03
12.83,26.99,45.75,1360.03
12.87,26.83,46.36,1397.07
16.45,31.89,52.31,1456.85
12.93,27.15,45.65,1360.8
31.92,44.72,48.66,1422.46
26.41,30.03,45.91,1315.84
13.06,26.83,47.06,1411.03
12.93,27.27,46.39,1347.25
12.9,28.75,46.1,1351.29
13.31,27.63,49.33,1373.86
12.64,27.79,46.36,1422.37
13.25,28.75,46.55,1376.29
12.67,26.63,48.5,1364.41
13.03,30.09,45.91,1369.41
14.34,27.47,47.7,1437.1
12.71,29.84,49.53,1330.92
13.19,27.95,46.61,1391.28
13.12,27.63,47.99,1362.17
13.44,30.22,50.26,1324.14
13.03,27.79,51.93,1401.75
12.74,28.27,48.09,1380.39
13.15,27.69,47.77,1352.38
12.83,26.99,48.89,1386.86
14.08,29.9,47.83,1357.88
13.41,29.36,45.91,1398.48
12.96,29.29,47.06,1410.55
13.79,29.2,55.16,1375.91
13.12,26.86,46.42,1419.13
13.63,29.36,51.06,1493.54
12.67,32.01,47.99,1507.47
13.06,26.7,46.93,1354.39
12.99,26.76,46.04,1392.49
13.19,30.51,47.57,1367.65
12.51,27.85,45.91,1350.62
12.64,27.63,45.3,1305.05
12.74,47.73,50.07,1545.13
14.79,27.08,47.41,1358.3
14.63,30.35,44.82,1324.81
12.45,26.09,44.92,1314.08
13.38,25.03,43.28,1330.22
13.54,27.37,59.48,1297.02
14.34,24.55,49.05,1395.44
12.71,26.03,45.11,1303.84
13.22,25.19,43.48,1455.09
13.41,26.31,43.51,1348.15
12.77,26.12,44.95,1313.83
13.25,26.12,46.17,1359.13
12.26,25.19,43.32,1352.73
13.15,25.23,43.57,1285.3
11.94,25.1,44.63,1273.77
12.96,24.36,42.35,1284.56
12.77,26.03,45.04,1339.66
13.09,25.16,43.44,1320.36
13.38,25.29,43.73,1257.41
12.35,25.1,43.28,1324.46
12.99,25.35,44.63,1376.04
15.27,25.16,46.68,1356.54
12.39,25.19,45.56,1380.84
12.8,25.9,44.98,1300.38
13.09,25,43.28,1256.96
13.38,25.1,43.73,1286.03
13.25,25.03,43.51,1290.68
13.38,26.25,43.57,1267.94
11.87,25.29,43.96,1284.69
13.19,25.07,44.34,1292.25
12.16,25.13,43.38,1337.23
13.15,25.35,44.66,1327.05
12.83,26.06,45.11,1326.83
19.08,50.04,66.11,1373.44
13.22,32.05,50.3,1398.42
14.11,29.93,47.35,1369.38
13.03,30.41,45.11,1309.95
13.03,30.28,63.2,1470.39
12.87,27.66,45.49,1381
12.77,27.02,45.36,1397.78
13.28,26.83,49.27,1395.54
14.85,31.28,51.61,1492.3
13.79,27.75,47.13,1341.14
13.38,29.23,46.07,1308.1
12.83,27.66,45.65,1334.93
12.8,26.99,47.25,1355.42
13.03,26.6,45.43,1366.82
13.12,28.3,47.96,1381.03
12.64,26.7,46.2,1288.63
12.64,27.21,45.17,1316.32
12.83,26.73,47.83,1369.03
12.64,26.95,46.26,1415.07
13.06,29.71,45.84,1403.57
12.96,29.1,45.46,1379.11
19.59,27.4,45.46,1383.66
13.79,27.66,45.72,1299.39
12.87,26.6,50.26,1471.96
13.41,28.3,47.54,1411.96
12.87,26.99,48.5,1458.07
13.44,27.66,57.5,1526.17
13.22,29.9,49.98,1417.63
13.12,26.31,45.68,1503.63
12.8,27.53,45.49,1557.16
12.9,53.85,45.36,1418.97
12.83,26.51,47.67,1340.4
12.87,27.75,45.08,1348.92
12.83,26.67,45.56,1376.9
12.9,26.76,47.73,1359.13
14.44,29.52,45.52,1439.53
13.03,28.56,46.26,1447.92
13.09,29.13,45.24,1400.69
12.93,26.83,47.67,1319.72
12.8,26.89,49.78,1335.44
12.87,29.36,45.17,1436.87
12.83,29.74,54.3,1382.38
15.17,27.79,47.29,1387.47
13.35,36.11,59.96,1419.23
12.96,27.18,49.53,1389.23
13.25,28.88,46.2,1415.87
13.35,27.4,47.13,1415.87
13.15,30.54,49.08,1427.17
12.99,27.69,46.2,1345.65
13.03,27.59,46.65,1401.33
13.63,30.8,47.41,1393.65
13.7,27.75,47.35,1351.64
12.87,27.85,46.97,1662.7
12.87,27.63,46.39,1367.81
13.12,26.92,48.98,1386.6
13.09,26.6,46.87,1403.51
14.85,31.05,52.25,1370.4
12.67,28.81,46.13,1388.46
12.8,29.42,46.71,1416.38
13.41,26.79,46.58,1323.91
12.87,27.02,46.87,1357.66
12.61,27.69,47.35,1324.84
12.64,27.11,46.2,1351.58
12.87,28.65,45.84,1368.45
12.39,29.42,45.3,1315.46
17,29.74,46.81,1350.65
13.31,44.12,53.18,1462.77
12.8,73.41,242.82,1405.65
12.83,27.37,45.59,1384.94
13.12,25.16,44.66,1362.21
12.61,26.09,45.84,1374.66
12.19,25.07,43.35,1281.39
12.71,25.77,44.31,1397.14
13.28,25.19,43.54,1284.98
12.29,25.8,44.63,1293.24
13.25,25.23,43.28,1362.85
13.22,25.99,43.35,1386.28
13.19,25.23,43.48,1282.86
13.44,26.25,43.54,1274.67
12.1,25.23,43.41,1252.54
12.61,28.84,45.78,1268.23
12.58,25.96,44.34,1270.86
12.16,25.23,44.21,1227.76
13.15,25.26,43.09,1288.02
13.99,25.99,44.82,1264.87
12.99,25.07,43.28,1367.94
12.64,26.19,44.69,1362.62
12.64,25.9,45.36,1288.6
12.32,25.39,43.57,1254.02
12.39,26.22,43.38,1271.63
12.16,25.35,43.54,1285.78
12.96,25.26,43.38,1224.56
12.19,25.32,43.51,1254.18
12.16,25.13,43.32,1275.56
12.42,26.12,44.6,1267.85
13.25,25.23,43.6,1228.37
12.74,26.12,44.85,1331.79
12.58,25.9,44.53,1337.9
12.71,26.03,44.85,1306.33
12.29,25.23,43.28,1289.72
